DATE,CLF16OV
2006-08-01,151716
2006-09-01,151662
2006-10-01,152041
2006-11-01,152406
2006-12-01,152732
2007-01-01,153144
2007-02-01,152983
2007-03-01,153051
2007-04-01,152435
2007-05-01,152670
2007-06-01,153041
2007-07-01,153054
2007-08-01,152749
2007-09-01,153414
2007-10-01,153183
2007-11-01,153835
2007-12-01,153918
2008-01-01,154063
2008-02-01,153653
2008-03-01,153908
2008-04-01,153769
2008-05-01,154303
2008-06-01,154313
2008-07-01,154469
2008-08-01,154641
2008-09-01,154570
2008-10-01,154876
2008-11-01,154639
2008-12-01,154655
2009-01-01,154210
2009-02-01,154538
2009-03-01,154133
2009-04-01,154509
2009-05-01,154747
2009-06-01,154716
2009-07-01,154502
2009-08-01,154307
2009-09-01,153827
2009-10-01,153784
2009-11-01,153878
2009-12-01,153111
2010-01-01,153484
2010-02-01,153694
2010-03-01,153954
2010-04-01,154622
2010-05-01,154091
2010-06-01,153616
2010-07-01,153691
2010-08-01,154086
2010-09-01,153975
2010-10-01,153635
2010-11-01,154125
2010-12-01,153650
2011-01-01,153263
2011-02-01,153214
2011-03-01,153376
2011-04-01,153543
2011-05-01,153479
2011-06-01,153346
2011-07-01,153288
2011-08-01,153760
2011-09-01,154131
2011-10-01,153961
2011-11-01,154128
2011-12-01,153995
2012-01-01,154381
2012-02-01,154671
2012-03-01,154749
2012-04-01,154545
2012-05-01,154866
2012-06-01,155083
2012-07-01,154948
2012-08-01,154763
2012-09-01,155160
2012-10-01,155554
2012-11-01,155338
2012-12-01,155628
2013-01-01,155763
2013-02-01,155312
2013-03-01,155005
2013-04-01,155394
2013-05-01,155536
2013-06-01,155749
2013-07-01,155599
2013-08-01,155605
2013-09-01,155687
2013-10-01,154673
2013-11-01,155265
2013-12-01,155182
2014-01-01,155352
2014-02-01,155483
2014-03-01,156028
2014-04-01,155369
2014-05-01,155684
2014-06-01,155707
2014-07-01,156007
2014-08-01,156130
2014-09-01,156040
2014-10-01,156417
2014-11-01,156494
2014-12-01,156332
2015-01-01,157030
2015-02-01,156644
2015-03-01,156643
2015-04-01,157060
2015-05-01,157651
2015-06-01,157062
2015-07-01,156997
2015-08-01,157172
2015-09-01,156733
2015-10-01,157167
2015-11-01,157463
2015-12-01,158035
2016-01-01,158280
2016-02-01,158640
2016-03-01,159179
2016-04-01,159141
2016-05-01,158784
2016-06-01,158967
2016-07-01,159194
2016-08-01,159562
2016-09-01,159714
2016-10-01,159605
2016-11-01,159506
2016-12-01,159678
2017-01-01,159620
2017-02-01,159859
2017-03-01,160137
2017-04-01,160345
2017-05-01,160068
2017-06-01,160192
2017-07-01,160462
2017-08-01,160586
2017-09-01,161140
2017-10-01,160309
2017-11-01,160579
2017-12-01,160535
2018-01-01,160998
2018-02-01,161846
2018-03-01,161760
2018-04-01,161809
2018-05-01,161882
2018-06-01,162180
2018-07-01,162288
2018-08-01,161679
2018-09-01,162035
2018-10-01,162525
2018-11-01,162738
2018-12-01,163146
2019-01-01,163072
2019-02-01,163114
2019-03-01,163035
2019-04-01,162642
